"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,584",6,"1,286","10.0.22.101","13,002",6,663,"1,949",tcp,"1,106,748",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,350",4,288,"10.0.22.101","13,004",2,152,440,tcp,"225,101",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,350",2,144,"10.0.22.101","13,004",1,76,220,tcp,"192,554",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,534",4,288,"10.0.22.101","13,005",2,152,440,tcp,"255,301",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,534",2,144,"10.0.22.101","13,005",1,76,220,tcp,"193,507",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,522",4,288,"10.0.22.101","13,006",2,152,440,tcp,"235,942",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,522",2,144,"10.0.22.101","13,006",1,76,220,tcp,"192,216",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,886",4,288,"10.0.22.101","13,001",2,152,440,tcp,"270,798",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,886",2,144,"10.0.22.101","13,001",1,76,220,tcp,"224,689",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,594",4,288,"10.0.22.101","13,002",2,152,440,tcp,"297,035",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,594",2,144,"10.0.22.101","13,002",1,76,220,tcp,"255,958",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,760",4,288,"10.0.22.101","13,003",2,152,440,tcp,"735,047",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,760",2,144,"10.0.22.101","13,003",1,76,220,tcp,"689,586",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,362",4,288,"10.0.22.101","13,004",2,152,440,tcp,"233,002",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,362",2,144,"10.0.22.101","13,004",1,76,220,tcp,"179,091",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,546",4,288,"10.0.22.101","13,005",2,152,440,tcp,"263,041",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,546",2,144,"10.0.22.101","13,005",1,76,220,tcp,"187,994",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,534",4,288,"10.0.22.101","13,006",2,152,440,tcp,"210,229",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,534",2,144,"10.0.22.101","13,006",1,76,220,tcp,"181,639",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,604",12,"2,574","10.0.22.101","13,002",12,"1,326","3,900",tcp,"1,768,049",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,604",6,"1,287","10.0.22.101","13,002",6,663,"1,950",tcp,"1,632,939",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,900",4,288,"10.0.22.101","13,001",2,152,440,tcp,"217,404",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,900",2,144,"10.0.22.101","13,001",1,76,220,tcp,"180,301",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,608",4,288,"10.0.22.101","13,002",2,152,440,tcp,"215,879",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,608",2,144,"10.0.22.101","13,002",1,76,220,tcp,"179,571",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,774",4,288,"10.0.22.101","13,003",2,152,440,tcp,"264,032",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,774",2,144,"10.0.22.101","13,003",1,76,220,tcp,"204,664",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,376",4,288,"10.0.22.101","13,004",2,152,440,tcp,"239,888",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,376",2,144,"10.0.22.101","13,004",1,76,220,tcp,"192,771",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,560",4,288,"10.0.22.101","13,005",2,152,440,tcp,"254,433",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,560",2,144,"10.0.22.101","13,005",1,76,220,tcp,"198,732",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,548",4,288,"10.0.22.101","13,006",2,152,440,tcp,"277,581",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,548",2,144,"10.0.22.101","13,006",1,76,220,tcp,"207,974",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,912",4,288,"10.0.22.101","13,001",2,152,440,tcp,"228,976",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,912",2,144,"10.0.22.101","13,001",1,76,220,tcp,"207,880",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,620",4,288,"10.0.22.101","13,002",2,152,440,tcp,"272,411",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,620",2,144,"10.0.22.101","13,002",1,76,220,tcp,"229,467",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,786",4,288,"10.0.22.101","13,003",2,152,440,tcp,"261,958",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,786",2,144,"10.0.22.101","13,003",1,76,220,tcp,"225,778",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,388",4,288,"10.0.22.101","13,004",2,152,440,tcp,"222,545",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,388",2,144,"10.0.22.101","13,004",1,76,220,tcp,"203,378",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,572",4,288,"10.0.22.101","13,005",2,152,440,tcp,"293,946",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,572",2,144,"10.0.22.101","13,005",1,76,220,tcp,"253,633",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,560",4,288,"10.0.22.101","13,006",2,152,440,tcp,"316,506",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,560",2,144,"10.0.22.101","13,006",1,76,220,tcp,"222,388",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,630",12,"2,576","10.0.22.101","13,002",12,"1,326","3,902",tcp,"1,376,614",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,630",6,"1,288","10.0.22.101","13,002",6,663,"1,951",tcp,"1,219,689",12
