"@timestamp","source.bytes","source.packets","destination.bytes","destination.packets","network.packets","network.bytes","network.transport","event.duration"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,776"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"241,593"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"195,994"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"247,812"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,577"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"247,450"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"195,138"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"237,703"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"189,892"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"249,505"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,943"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"234,330"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,095"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,684"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"190,658"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"276,680"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"225,234"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"242,086"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"207,268"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"226,943"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"206,702"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"247,047"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,222"
"Jan 22, 2020 @ 17:20:10.004",112,2,56,1,3,168,tcp,"365,451"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"237,197"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"190,851"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"239,759"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,458"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"256,503"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"201,084"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"229,422"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,946"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"240,139"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,305"
"Jan 22, 2020 @ 17:20:10.004","2,576",12,"1,324",12,24,"3,900",tcp,"1,336,395"
"Jan 22, 2020 @ 17:20:10.004","1,288",6,662,6,12,"1,950",tcp,"1,216,177"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"276,425"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,876"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"233,289"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,728"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"238,286"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,466"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"257,188"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,524"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"276,629"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"234,907"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"250,870"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,502"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"240,727"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"206,943"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"267,083"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"199,229"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"245,035"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,934"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"224,464"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"183,585"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"240,863"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,149"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"253,489"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"222,660"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"266,247"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,240"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,435"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,753"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"398,468"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"348,459"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"511,488,280"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"511,451,108"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"223,998"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,075"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"230,115"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,198"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"270,245"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"226,344"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"241,717"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"195,912"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"313,814"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"269,920"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"252,870"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,072"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"253,390"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,347"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"253,096"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"205,457"
"Jan 22, 2020 @ 17:20:10.004","2,578",12,"1,324",12,24,"3,902",tcp,"509,656,547"
"Jan 22, 2020 @ 17:20:10.004","1,289",6,662,6,12,"1,951",tcp,"509,537,025"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"287,713"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"244,880"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"253,554"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"233,855"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"227,500"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,336"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"234,511"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,740"
