,source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,event.duration
425,288.0,4.0,152.0,2.0,6.0,440.0,251772.0
426,144.0,2.0,76.0,1.0,3.0,220.0,200195.0
427,288.0,4.0,152.0,2.0,6.0,440.0,237464.0
428,144.0,2.0,76.0,1.0,3.0,220.0,194319.0
429,288.0,4.0,152.0,2.0,6.0,440.0,229174.0
430,144.0,2.0,76.0,1.0,3.0,220.0,193752.0
431,288.0,4.0,152.0,2.0,6.0,440.0,248298.0
432,144.0,2.0,76.0,1.0,3.0,220.0,197220.0
433,288.0,4.0,152.0,2.0,6.0,440.0,230423.0
434,144.0,2.0,76.0,1.0,3.0,220.0,193633.0
435,2574.0,12.0,1324.0,12.0,24.0,3898.0,1222285.0
436,1287.0,6.0,662.0,6.0,12.0,1949.0,1100960.0
437,288.0,4.0,152.0,2.0,6.0,440.0,224405.0
438,144.0,2.0,76.0,1.0,3.0,220.0,191849.0
