source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,network.transport,event.duration
129453.0,85.0,4264.0,59.0,144.0,133717.0,1.0,163328103199.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,40683.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90331.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108417.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,41771.0
22808.0,331.0,303856.0,323.0,654.0,326664.0,1.0,9030144020255.0
1928.0,15.0,2521.0,13.0,28.0,4449.0,1.0,5120107429.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,45517.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632128110.0
371.0,5.0,330.0,4.0,9.0,701.0,1.0,2047912932.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,70015.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113445.0
22808.0,331.0,303856.0,323.0,654.0,326664.0,1.0,9030144020255.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9727877511.0
2040.0,17.0,2497.0,12.0,29.0,4537.0,1.0,6143964261.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
1928.0,15.0,2521.0,13.0,28.0,4449.0,1.0,5120107429.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7167860667.0
68.0,1.0,68.0,1.0,2.0,136.0,1.0,43446.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,85878.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,126949.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112102.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,40683.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,70015.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6144013841.0
1860.0,15.0,2366.0,11.0,26.0,4226.0,1.0,3584144921.0
1848.0,15.0,2345.0,11.0,26.0,4193.0,1.0,4096068166.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,8704008305.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,45517.0
122926.0,81.0,4048.0,56.0,137.0,126974.0,1.0,153600022686.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,67936.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,44798.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,106002.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,115842.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90331.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108417.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,6144013841.0
2040.0,17.0,2497.0,12.0,29.0,4537.0,1.0,6143964261.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9727877511.0
1928.0,15.0,2521.0,13.0,28.0,4449.0,1.0,5120107429.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,67936.0
117118.0,77.0,3832.0,53.0,130.0,120950.0,1.0,141824032615.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112102.0
